mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
5995.879792261415,10.352274435096913,0.8871692671793943,0.008352552029535765,0.0,0.0,0.0,inf,2.5,50.0,10
5896.485572813342,10.424871205979604,0.8887628327936417,0.001275348691305354,0.0,0.0,0.0,inf,2.5,50.0,10
6082.286317962614,10.290135005704112,0.8852525604700988,0.008580572359639828,0.0,0.0,0.0,inf,2.5,50.0,10
6274.606151513685,10.154938899327421,0.8831660649069083,0.012769613712248173,0.0,0.0,0.0,inf,2.5,50.0,10
6191.2306575700395,10.213033766831671,0.883818713167311,0.01512323687874742,0.0,0.0,0.0,inf,2.5,50.0,10
6085.067886001839,10.288149332152958,0.8874895857270166,0.014694411867705207,0.0,0.0,0.0,inf,2.5,50.0,10
5968.138933243013,10.372414362762068,0.8880304920461892,0.006208138308051287,0.0,0.0,0.0,inf,2.5,50.0,10
5894.089708230513,10.426636193280443,0.8888423599944345,0.0012872088451392934,0.0,0.0,0.0,inf,2.5,50.0,10
6075.196916178771,10.295200015236768,0.8868208818976149,0.009052607637141483,0.0,0.0,0.0,inf,2.5,50.0,10
6123.581313204626,10.260748717843665,0.8850532821720363,0.012448321067481028,0.0,0.0,0.0,inf,2.5,50.0,10
5890.18951307237,10.429510927094137,0.8899435833532261,0.010255026298935148,0.0,0.0,0.0,inf,2.5,50.0,10
5907.680876114901,10.416633335180434,0.8892414151047585,0.0027492240685008107,0.0,0.0,0.0,inf,2.5,50.0,10
5962.38405832164,10.376604138211153,0.8874808807163448,0.005065031011683923,0.0,0.0,0.0,inf,2.5,50.0,10
5922.156965210239,10.406004468012481,0.8876419754484325,0.026184291716484634,0.0,0.0,0.0,inf,2.5,50.0,10
5969.662634473638,10.371305724732915,0.8879142574651694,0.01574057612121907,0.0,0.0,0.0,inf,2.5,50.0,10
5803.0345317011015,10.494252059706868,0.8886131675884552,0.009354034316344248,0.0,0.0,0.0,inf,2.5,50.0,10
5940.747939549362,10.392392348142511,0.8859592320891809,0.017804533608932162,0.0,0.0,0.0,inf,2.5,50.0,10
6007.869776293931,10.343598503288371,0.8873690697222324,0.007731947542884273,0.0,0.0,0.0,inf,2.5,50.0,10
5924.680198706473,10.404154478204442,0.8814775404786007,0.01598840238758155,0.0,0.0,0.0,inf,2.5,50.0,10
6105.448702440283,10.273627741868474,0.8826910490611604,0.018511657327065147,0.0,0.0,0.0,inf,2.5,50.0,10
6880.928791471105,9.754332973728014,0.8697134527244201,0.03568509935081598,0.0,0.0,0.0,inf,2.5,50.0,10
6222.9678392283995,10.19082804344589,0.8814320242428466,0.018792881778162546,0.0,0.0,0.0,inf,2.5,50.0,10
6367.244979919678,10.091288011908876,0.881831858663963,0.022884933779912568,0.0,0.0,0.0,inf,2.5,50.0,10
6322.406122481895,10.121979713751175,0.8838423483557047,0.01834377670256233,0.0,0.0,0.0,inf,2.5,50.0,10
6862.924388316317,9.765711467532675,0.8651918031674527,0.03749337397505533,0.0,0.0,0.0,inf,2.5,50.0,10
5845.14661053854,10.462849520681964,0.8848378567082598,0.020684009168107965,0.0,0.0,0.0,inf,2.5,50.0,10
6876.807841809003,9.756934718185963,0.8688235431782145,0.03628095862056155,0.0,0.0,0.0,inf,2.5,50.0,10
6122.632973661715,10.261421347966952,0.8856847360674948,0.014123395169285641,0.0,0.0,0.0,inf,2.5,50.0,10
6695.717585200238,9.872832333521997,0.8708747399287564,0.03231649323694025,0.0,0.0,0.0,inf,2.5,50.0,10
5973.810228867276,10.368289386936782,0.8872264119610456,0.005764280788381777,0.0,0.0,0.0,inf,2.5,50.0,10
6336.36249415332,10.112403462152495,0.8777487881736792,0.031252508669337,0.0,0.0,0.0,inf,2.5,50.0,10
6548.577877776165,9.969333642184585,0.8626025642183431,0.03315527254117362,0.0,0.0,0.0,inf,2.5,50.0,10
6014.791019499686,10.338598182452106,0.8886633546226191,0.016775896439338623,0.0,0.0,0.0,inf,2.5,50.0,10
6007.1655941033205,10.344107569521732,0.8887603741871762,0.0070192506795331774,0.0,0.0,0.0,inf,2.5,50.0,10
6217.707424073806,10.194500785257672,0.8826021915575002,0.033799695816618756,0.0,0.0,0.0,inf,2.5,50.0,10
6035.404267673102,10.323739952432597,0.8851551233780078,0.012904728144817707,0.0,0.0,0.0,inf,2.5,50.0,10
7429.246125062499,9.421356144473505,0.8630386600954376,0.04962163999668563,0.0,0.0,0.0,inf,2.5,50.0,10
6187.2271898840345,10.215842976196134,0.8841675110006068,0.029852804623367757,0.0,0.0,0.0,inf,2.5,50.0,10
6526.857211980452,9.983762491260146,0.8746903701717528,0.02690589881528683,0.0,0.0,0.0,inf,2.5,50.0,10
6109.729585006693,10.270583719573207,0.8851146144115782,0.01954600163811424,0.0,0.0,0.0,inf,2.5,50.0,10
6449.380106772472,10.035623871854733,0.8760087363331647,0.031369955020242084,0.0,0.0,0.0,inf,2.5,50.0,10
6236.201948355671,10.181601902657317,0.8776381046906291,0.02671333957803753,0.0,0.0,0.0,inf,2.5,50.0,10
6114.508556313608,10.267188038059956,0.8798798930491579,0.020462561530946576,0.0,0.0,0.0,inf,2.5,50.0,10
6449.5641683198655,10.035499928510745,0.8717518135862584,0.038960191365032815,0.0,0.0,0.0,inf,2.5,50.0,10
6768.296108127288,9.826010103474855,0.8751125807703266,0.025169789437466734,0.0,0.0,0.0,inf,2.5,50.0,10
6514.202803180594,9.992190857715071,0.8768467833003266,0.021831586185513986,0.0,0.0,0.0,inf,2.5,50.0,10
6793.810115965872,9.809669565059135,0.8692697197611238,0.03903906294244347,0.0,0.0,0.0,inf,2.5,50.0,10
6900.542894469444,9.741971010295899,0.8686972786677987,0.03047203293554474,0.0,0.0,0.0,inf,2.5,50.0,10
6585.4685408299865,9.944936814246095,0.8650203581359346,0.041210071331677776,0.0,0.0,0.0,inf,2.5,50.0,10
6081.307591813035,10.290833903365655,0.8815912419471705,0.026875622397580894,0.0,0.0,0.0,inf,2.5,50.0,10
7121.36020386768,9.605174075941461,0.848491483462963,0.0468427324929207,0.0,0.0,0.0,inf,2.5,50.0,10
6651.079353558814,9.90188231466007,0.8743641894897237,0.029971818691835597,0.0,0.0,0.0,inf,2.5,50.0,10
6152.762455444267,10.240102126060165,0.8762163771131346,0.029418933992109743,0.0,0.0,0.0,inf,2.5,50.0,10
7429.891840454186,9.420978692386692,0.8491652723678047,0.04429913062870791,0.0,0.0,0.0,inf,2.5,50.0,10
6590.943678327769,9.941327603938689,0.8755767027145236,0.02863298453477443,0.0,0.0,0.0,inf,2.5,50.0,10
7015.474847179884,9.670232889916822,0.8607795409817408,0.04056555185390792,0.0,0.0,0.0,inf,2.5,50.0,10
6273.719004532185,10.155552978153963,0.8807526656263533,0.039069468634981015,0.0,0.0,0.0,inf,2.5,50.0,10
6957.399412912695,9.706334246592068,0.860305746840567,0.044564459286713154,0.0,0.0,0.0,inf,2.5,50.0,10
6695.045208948242,9.873268468939731,0.8611726200689319,0.04804335477729422,0.0,0.0,0.0,inf,2.5,50.0,10
6939.129933388172,9.717753412512153,0.8715147283829476,0.04420862418185697,0.0,0.0,0.0,inf,2.5,50.0,10
6631.337607457945,9.914792220640805,0.8652467657394886,0.04574899119798214,0.0,0.0,0.0,inf,2.5,50.0,10
6302.430347897614,10.13572306153044,0.8787973775713721,0.035596911879192915,0.0,0.0,0.0,inf,2.5,50.0,10
6608.136320381929,9.930013673275305,0.8536709086083824,0.049974054268099616,0.0,0.0,0.0,inf,2.5,50.0,10
6578.886453444299,9.94927969997116,0.8741968131705145,0.03061347451729601,0.0,0.0,0.0,inf,2.5,50.0,10
6687.453944291221,9.878195567633444,0.8701307996183028,0.028559621406925837,0.0,0.0,0.0,inf,2.5,50.0,10
6679.07825680231,9.88363828872212,0.8691128788486865,0.037806066247339315,0.0,0.0,0.0,inf,2.5,50.0,10
7681.812228835019,9.276166736307168,0.8504754422866244,0.05130119756700443,0.0,0.0,0.0,inf,2.5,50.0,10
6402.97096821019,10.06698828179257,0.8724860987946094,0.04037192750549485,0.0,0.0,0.0,inf,2.5,50.0,10
7452.21412557862,9.407950358163815,0.8515176768868904,0.055557082781143685,0.0,0.0,0.0,inf,2.5,50.0,10
5968.606441831584,10.37207417556031,0.8799543991546311,0.0335449727200586,0.0,0.0,0.0,inf,2.5,50.0,10
6682.094788793729,9.881677288417514,0.8683674055839095,0.032509645385986864,0.0,0.0,0.0,inf,2.5,50.0,10
6596.902937049403,9.937402666940748,0.8721656628852557,0.03841506966440693,0.0,0.0,0.0,inf,2.5,50.0,10
6781.0176287479235,9.817854874453332,0.860423204627768,0.05346011269884488,0.0,0.0,0.0,inf,2.5,50.0,10
7551.205932162385,9.350640466080636,0.8571485003199487,0.04741709982142212,0.0,0.0,0.0,inf,2.5,50.0,10
7119.229335010726,9.606473775775678,0.8699926289180133,0.037207175061563895,0.0,0.0,0.0,inf,2.5,50.0,10
6065.7258270027905,10.301975847170011,0.8742723881324594,0.0359491371980758,0.0,0.0,0.0,inf,2.5,50.0,10
7803.24323801229,9.208052161745867,0.8511419246788215,0.03967196505417164,0.0,0.0,0.0,inf,2.5,50.0,10
