mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
2597.1351395555557,13.985858125338373,0.8616593279302401,0.22344751611480068,0.12140403596136823,0.0,0.004122426446321086,0.0,0.0,inf,2.5,50.0,10
2583.9451662222223,14.00797067589673,0.8614235932644801,0.2225946015235319,0.12176575760447972,0.0,-0.018229006328391268,0.0,0.0,inf,2.5,50.0,10
2590.9254755555557,13.996254395920278,0.8616574510063749,0.22365371633228381,0.12173359415591845,0.0,0.0007289410665408377,0.0,0.0,inf,2.5,50.0,10
2587.645944888889,14.001755072251775,0.861932100817138,0.22420432006579966,0.12149000432437262,0.0,0.013951543273547367,0.0,0.0,inf,2.5,50.0,10
2593.2802488888888,13.992309085145639,0.8616608665607721,0.22351315049706844,0.1216902213072284,0.0,-0.003917186086783614,0.0,0.0,inf,2.5,50.0,10
2607.9234844444445,13.967855156680873,0.8604749959595288,0.2247526596423151,0.12102295748877234,0.0,0.04126471117810305,0.0,0.0,inf,2.5,50.0,10
2614.996821333333,13.956091955721632,0.8609343104564543,0.22164849015189703,0.12077323495043252,0.0,-0.026887703685977545,0.0,0.0,inf,2.5,50.0,10
2606.4390044444444,13.970327947904293,0.861660856837715,0.22308265927212084,0.12193862524414212,0.0,0.01285755350225253,0.0,0.0,inf,2.5,50.0,10
2576.7354524444445,14.020105280528236,0.8613310761320154,0.22405553769828201,0.12137917216599114,0.0,-0.029732412234052034,0.0,0.0,inf,2.5,50.0,10
2583.7407217777777,14.008314307828115,0.8618619353625386,0.22356476859541435,0.12194572235673384,0.0,-0.015464554966419046,0.0,0.0,inf,2.5,50.0,10
2601.9857493333334,13.977754471983939,0.8615261266410124,0.22386880499965478,0.12181945534916777,0.0,0.0063764868323269355,0.0,0.0,inf,2.5,50.0,10
2588.797866666667,13.999822188217319,0.8616112085174691,0.22387745523110775,0.121851045519827,0.0,0.004308109850882948,0.0,0.0,inf,2.5,50.0,10
2586.9288675555554,14.0029587372571,0.861323114106051,0.22219662887561636,0.12128655823833967,0.0,0.021087320421221713,0.0,0.0,inf,2.5,50.0,10
2596.836231111111,13.986357990581732,0.8616135239818702,0.22391881215681997,0.12183347506827147,0.0,0.004860927310453547,0.0,0.0,inf,2.5,50.0,10
2607.1114951111113,13.969207563677424,0.8615176122143102,0.2242851661237107,0.12194251472624035,0.0,0.020070616156472355,0.0,0.0,inf,2.5,50.0,10
2615.4654151111113,13.955313792403405,0.8602622960624645,0.22292194535004584,0.12106005061025532,0.0,-0.032434891177643525,0.0,0.0,inf,2.5,50.0,10
2602.4958506666667,13.976903151095465,0.8606499930737403,0.22373193123732238,0.12186524433426454,0.0,0.029184063269733867,0.0,0.0,inf,2.5,50.0,10
2582.6885688888888,14.010083205356263,0.8609068736419518,0.2220167428724525,0.11983293131149253,0.0,-0.0467809781777223,0.0,0.0,inf,2.5,50.0,10
2590.6902044444446,13.99664877849007,0.861663189426162,0.22362297784546986,0.12170187246904768,0.0,-0.00041577172110665524,0.0,0.0,inf,2.5,50.0,10
2593.5563733333333,13.991846686456846,0.8617315313912619,0.22401256992161106,0.12123110963417494,0.0,0.022019028974414018,0.0,0.0,inf,2.5,50.0,10
2700.6637866666665,13.816098398733438,0.8510152899070034,0.21790074736872883,0.12062758457555123,0.0,0.12463325160068532,0.0,0.0,inf,2.5,50.0,10
2653.02304,13.893393392680109,0.8539310300514036,0.22432600677012204,0.12038384728482926,0.0,0.09731733538608488,0.0,0.0,inf,2.5,50.0,10
2626.9071502222223,13.936356382374427,0.8567037824971218,0.22811739202694709,0.11976721928782308,0.0,0.09070397222660467,0.0,0.0,inf,2.5,50.0,10
2658.160021333333,13.884992389300576,0.8550435769250094,0.22367107886049598,0.1211195175283778,0.0,0.10616933784988362,0.0,0.0,inf,2.5,50.0,10
2680.439872,13.848742913515368,0.8566946442583003,0.22967816715816686,0.1154145031736446,0.0,0.09501008769663742,0.0,0.0,inf,2.5,50.0,10
2631.282154666667,13.929129405113589,0.858340378984383,0.22299123424291234,0.1186993245792245,0.0,0.0710260330529475,0.0,0.0,inf,2.5,50.0,10
2645.0991075555557,13.906384118849369,0.8547995467117353,0.22076531686812617,0.12027227102279342,0.0,0.11141505010582159,0.0,0.0,inf,2.5,50.0,10
2690.989511111111,13.831683558858145,0.8494885948047287,0.21852060244588395,0.11982654564965284,0.0,0.13229089360528543,0.0,0.0,inf,2.5,50.0,10
2639.6278755555554,13.915376548253349,0.855857086560068,0.22099401597224722,0.11848588859622311,0.0,0.11553476403050067,0.0,0.0,inf,2.5,50.0,10
2624.5545671111113,13.9402475425379,0.8543633189957236,0.2198208760638543,0.11704837525087664,0.0,0.10798660933888861,0.0,0.0,inf,2.5,50.0,10
2649.663744,13.898895976447465,0.8567286289919535,0.22071894836236566,0.1252375025261736,0.0,0.1038534968291239,0.0,0.0,inf,2.5,50.0,10
2715.643377777778,13.792076236954777,0.853364691917625,0.22314067843042007,0.12124994530853628,0.0,0.12239255434000855,0.0,0.0,inf,2.5,50.0,10
2615.3621475555556,13.955485270162924,0.8552043378610968,0.21920140317530856,0.11903872564187401,0.0,0.10835526845647481,0.0,0.0,inf,2.5,50.0,10
2664.6435484444446,13.874412395493621,0.8588011236552001,0.22253090200811637,0.12208975131747357,0.0,0.05877601693294096,0.0,0.0,inf,2.5,50.0,10
2621.869297777778,13.944693228916885,0.8550536364719593,0.21850909451012906,0.12097747452781077,0.0,0.10766312539590148,0.0,0.0,inf,2.5,50.0,10
2652.8235235555558,13.89372000932789,0.8520470268175814,0.21907976973217808,0.11729803748569373,0.0,0.11700485995650176,0.0,0.0,inf,2.5,50.0,10
2646.5935146666666,13.903931169195413,0.8573067698242532,0.2196687779889141,0.11656032190367366,0.0,0.09444257053278168,0.0,0.0,inf,2.5,50.0,10
2668.7069653333333,13.867794717283964,0.8556990989100239,0.2250960513519758,0.12189238684674486,0.0,0.10632900326759584,0.0,0.0,inf,2.5,50.0,10
2671.188081777778,13.863758925386115,0.855258954154294,0.22050742077458785,0.1164534922372778,0.0,0.10750705958048172,0.0,0.0,inf,2.5,50.0,10
2685.984512,13.839768567691408,0.8522888438199517,0.2298360587089306,0.11806454624348278,0.0,0.12207175605565379,0.0,0.0,inf,2.5,50.0,10
2845.3220408888888,13.589489327850446,0.8362056843827173,0.20923157229111872,0.11523164567695038,0.0,0.20953368576379752,0.0,0.0,inf,2.5,50.0,10
2686.5813475555556,13.838803656711356,0.8451044986745473,0.2157138878926338,0.1149532985324328,0.0,0.1690795992091599,0.0,0.0,inf,2.5,50.0,10
2857.6150115555556,13.570766422279705,0.8368766427609116,0.21188984247830717,0.10733612934462616,0.0,0.21836089715249415,0.0,0.0,inf,2.5,50.0,10
2759.7347555555557,13.722130178368193,0.8384579379010278,0.21625160183546177,0.11012483801840928,0.0,0.21530740930096956,0.0,0.0,inf,2.5,50.0,10
2718.03744,13.788249261780523,0.8463557742188739,0.2193781503885892,0.11991403404005213,0.0,0.17307390341146617,0.0,0.0,inf,2.5,50.0,10
