f0_mhz,fs_mhz,ch_compression,lam,mse,psnr,ssim,a-gcnr,h-gcnr
2.0,50.0,2,1e-10,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,1.2915496650148826e-09,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,1.6681005372000592e-08,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,2.1544346900318867e-07,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,2.782559402207126e-06,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,3.5938136638046256e-05,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,0.0004641588833612782,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,0.005994842503189421,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,0.07742636826811278,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,2,1.0,1349.8997333333334,16.827788493189935,0.21285881194279438,0.2140157561662302,0.10119601484824065
2.0,50.0,10,1e-10,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,1.2915496650148826e-09,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,1.6681005372000592e-08,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,2.1544346900318867e-07,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,2.782559402207126e-06,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,3.5938136638046256e-05,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,0.0004641588833612782,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,0.005994842503189421,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,0.07742636826811278,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,50.0,10,1.0,1528.1303555555555,16.289199580132188,0.16702899949509464,0.2612128289670502,0.07839940091470587
2.0,25.0,2,1e-10,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,1.2915496650148826e-09,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,1.6681005372000592e-08,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,2.1544346900318867e-07,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,2.782559402207126e-06,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,3.5938136638046256e-05,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,0.0004641588833612782,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,0.005994842503189421,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,0.07742636826811278,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,2,1.0,1609.8075888888889,16.063063904742734,0.1706107133022517,0.13151421267816354,0.1052259840999834
2.0,25.0,10,1e-10,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,1.2915496650148826e-09,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,1.6681005372000592e-08,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,2.1544346900318867e-07,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,2.782559402207126e-06,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,3.5938136638046256e-05,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,0.0004641588833612782,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,0.005994842503189421,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,0.07742636826811278,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,25.0,10,1.0,2051.652666666667,15.009765218345306,0.12024294408791274,0.11012991941072109,0.07115281299262483
2.0,50.0,2,1e-10,1453.6024222222222,16.506347228771862,0.17233323774887244,0.17586058367707524,0.1196689878176509
