mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
6733.627312462702,9.848312851419443,0.8414558971217726,0.016394087302509304,0.0,0.0,0.0,inf,2.5,50.0,10
6768.322043192852,9.825993462012809,0.8355072032787301,0.017571491065483,0.0,0.0,0.0,inf,2.5,50.0,10
5555.330849502428,10.68370432274278,0.8618231025839346,0.0081447434620502,0.0,0.0,0.0,inf,2.5,50.0,10
5900.086708278899,10.422219667426551,0.8621223181964873,0.010524259964135608,0.0,0.0,0.0,inf,2.5,50.0,10
6435.991016273931,10.044649316536876,0.8366362687462128,0.019296442987089768,0.0,0.0,0.0,inf,2.5,50.0,10
5359.932694633958,10.839210246327145,0.8813363738568079,0.002331661035442245,0.0,0.0,0.0,inf,2.5,50.0,10
5786.313059466783,10.50678434092947,0.8706831788060427,0.009312745813812019,0.0,0.0,0.0,inf,2.5,50.0,10
5544.219835163949,10.692399186101573,0.8792220666125307,-0.004485686171108385,0.0,0.0,0.0,inf,2.5,50.0,10
8270.001080627731,8.95574794566799,0.7460571546682752,0.04108845281687371,0.0,0.0,0.0,inf,2.5,50.0,10
6305.814954597507,10.133391387275665,0.8544131781980384,0.011512428244359427,0.0,0.0,0.0,inf,2.5,50.0,10
5292.857841002565,10.893901312819406,0.8798163318719676,0.0018778864412889538,0.0,0.0,0.0,inf,2.5,50.0,10
6863.340252576571,9.765448311374419,0.8374077277083086,0.016377439084844472,0.0,0.0,0.0,inf,2.5,50.0,10
5839.953936226835,10.466709393242436,0.8691107598821525,0.009244760073677511,0.0,0.0,0.0,inf,2.5,50.0,10
5365.847308914373,10.834420506832048,0.8802433542242771,-0.004168723610710851,0.0,0.0,0.0,inf,2.5,50.0,10
5675.800261286108,10.59053257195157,0.8729096393515585,0.006642998449859471,0.0,0.0,0.0,inf,2.5,50.0,10
6654.0412090127575,9.899948747060975,0.8374308024458499,0.01839675028776927,0.0,0.0,0.0,inf,2.5,50.0,10
5486.928920501282,10.737510266302813,0.8718873843694157,0.0060271162562353245,0.0,0.0,0.0,inf,2.5,50.0,10
5713.1840292898505,10.56202147376613,0.8734751070046607,0.005261512321471683,0.0,0.0,0.0,inf,2.5,50.0,10
6063.131852712053,10.303833480869063,0.8591544376442817,0.012176760798883265,0.0,0.0,0.0,inf,2.5,50.0,10
5440.91229173723,10.77408635793021,0.8796664398780928,0.004462377124645662,0.0,0.0,0.0,inf,2.5,50.0,10
6064.293801712875,10.30300127120605,0.8567787678889436,0.01302542109924661,0.0,0.0,0.0,inf,2.5,50.0,10
5952.7261818357765,10.383644548746586,0.8462539843527183,0.014011312512408895,0.0,0.0,0.0,inf,2.5,50.0,10
8233.772213351398,8.974815127622996,0.7596644159750666,0.03982285139065328,0.0,0.0,0.0,inf,2.5,50.0,10
5536.77085853454,10.698238104340387,0.8743014338524346,0.005824147446518807,0.0,0.0,0.0,inf,2.5,50.0,10
6434.473637521975,10.045673349840584,0.8484695675165238,0.012237332522552222,0.0,0.0,0.0,inf,2.5,50.0,10
5352.193432363994,10.84548560089785,0.8810659873654998,0.003167174377088926,0.0,0.0,0.0,inf,2.5,50.0,10
6728.741649328236,9.851465070228645,0.8305663445011272,0.019042125775371815,0.0,0.0,0.0,inf,2.5,50.0,10
7738.034338155836,9.244497082613726,0.7856612554277471,0.024765773351238748,0.0,0.0,0.0,inf,2.5,50.0,10
7953.038112288512,9.125472971983893,0.797027004697635,0.023709257652883044,0.0,0.0,0.0,inf,2.5,50.0,10
8120.460073224625,9.03499725518056,0.7815202527488274,0.027597059892252647,0.0,0.0,0.0,inf,2.5,50.0,10
5858.426638280028,10.452993649965714,0.8578789033614315,0.009903543346709683,0.0,0.0,0.0,inf,2.5,50.0,10
5537.425880227738,10.697724347335837,0.8764173639172538,0.003689743056703141,0.0,0.0,0.0,inf,2.5,50.0,10
7923.557023273818,9.14160173118688,0.7787181270265877,0.03155676621577626,0.0,0.0,0.0,inf,2.5,50.0,10
6935.606199900001,9.719959347137229,0.8467242522721148,0.013153644171189046,0.0,0.0,0.0,inf,2.5,50.0,10
5317.174174610087,10.873994741416356,0.8820868570233292,0.0019163205629126566,0.0,0.0,0.0,inf,2.5,50.0,10
7762.47763745746,9.230799988192242,0.7914501489721922,0.028897684666719593,0.0,0.0,0.0,inf,2.5,50.0,10
6225.619151304011,10.188978114257097,0.86167252111823,0.010788999758123068,0.0,0.0,0.0,inf,2.5,50.0,10
9004.572797212948,8.586172474007626,0.7447841311418958,0.03790125641755042,0.0,0.0,0.0,inf,2.5,50.0,10
7961.632086579249,9.120782562533703,0.7975697642108485,0.02765468950597476,0.0,0.0,0.0,inf,2.5,50.0,10
5655.101143529943,10.606399840230383,0.8757132025180921,0.008464014099119512,0.0,0.0,0.0,inf,2.5,50.0,10
6491.097030693053,10.007622597356145,0.8427212736576444,0.01814150210168998,0.0,0.0,0.0,inf,2.5,50.0,10
6183.122756084579,10.21872492056091,0.8483520537523273,0.013829568623591401,0.0,0.0,0.0,inf,2.5,50.0,10
5715.926307640199,10.55993739837768,0.8747850014696954,0.0062737283355469575,0.0,0.0,0.0,inf,2.5,50.0,10
6331.707182142223,10.11559538714285,0.843693982565857,0.011762297284878646,0.0,0.0,0.0,inf,2.5,50.0,10
7112.741810615958,9.610433165816849,0.8204434131643482,0.02114316021817355,0.0,0.0,0.0,inf,2.5,50.0,10
6564.374784277673,9.958869923111793,0.8417276811422223,0.01803069757589492,0.0,0.0,0.0,inf,2.5,50.0,10
7329.339091304979,9.480155461094613,0.8186199229877806,0.023949467162910756,0.0,0.0,0.0,inf,2.5,50.0,10
6975.27112465928,9.695192678247832,0.8340358110128873,0.019344567180044986,0.0,0.0,0.0,inf,2.5,50.0,10
8346.943646070225,8.915528794720174,0.7788102455661692,0.030597928531172654,0.0,0.0,0.0,inf,2.5,50.0,10
8195.560265157013,8.99501712693061,0.7820885344936649,0.03473963519204514,0.0,0.0,0.0,inf,2.5,50.0,10
7451.273785906679,9.408498396762035,0.7840919890146115,0.03468711346183914,0.0,0.0,0.0,inf,2.5,50.0,10
8910.267608586959,8.631896131512,0.7611989969417549,0.030057484986251902,0.0,0.0,0.0,inf,2.5,50.0,10
6558.404848308898,9.962821388426322,0.8422188808714647,0.01702842402592728,0.0,0.0,0.0,inf,2.5,50.0,10
7084.321027080208,9.627821277837379,0.8313234570549141,0.018164398153989174,0.0,0.0,0.0,inf,2.5,50.0,10
6832.335607490202,9.78511169916864,0.8277478471026866,0.019758257061203086,0.0,0.0,0.0,inf,2.5,50.0,10
7003.972710117579,9.677359156136173,0.8169063050097848,0.027947591406809268,0.0,0.0,0.0,inf,2.5,50.0,10
5889.890888856631,10.429731113790083,0.871074579211101,0.007127573115974796,0.0,0.0,0.0,inf,2.5,50.0,10
7219.121272237545,9.545960233874144,0.7968697799619857,0.02728592593796651,0.0,0.0,0.0,inf,2.5,50.0,10
5334.3721230302735,10.85997052299663,0.8803595431784664,-0.002313541984756501,0.0,0.0,0.0,inf,2.5,50.0,10
