mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
2513.2213333333334,14.128496233248741,0.8653821376091619,0.19797385100209153,0.10748669656734228,0.013900405373205698,0.0,0.0,0.0,inf,2.5,50.0,10
2403.6513422222224,14.322088888560243,0.8697551540400662,0.20049041655214173,0.10621822741167974,0.003966282997263335,0.0,0.0,0.0,inf,2.5,50.0,10
2485.1115662222223,14.177344702102094,0.8655748347169779,0.19916355064534214,0.10243367474054138,-0.0173604839517265,0.0,0.0,0.0,inf,2.5,50.0,10
2719.0960213333333,13.786558164658146,0.8441591690846125,0.19546247292149954,0.09458205965866967,0.036284423492894964,0.0,0.0,0.0,inf,2.5,50.0,10
2675.7951786666667,13.856274939915734,0.841611086500457,0.19004537423876505,0.08686417327116247,0.04043713972899094,0.0,0.0,0.0,inf,2.5,50.0,10
2782.804067555556,13.685977313843818,0.8271854520781668,0.1818509307361626,0.08489834742232666,0.04821664325669668,0.0,0.0,0.0,inf,2.5,50.0,10
2734.637354666667,13.761806189770846,0.8455472489305988,0.18091862874865555,0.09591625394863806,0.03624805789331007,0.0,0.0,0.0,inf,2.5,50.0,10
2817.755918222222,13.63176990249378,0.8124720900627236,0.19441887340286057,0.06710615667890124,0.05441783003657217,0.0,0.0,0.0,inf,2.5,50.0,10
2754.2078364444446,13.730836512305142,0.8351215533515403,0.18598413353002108,0.0980080568905563,0.041453013049467406,0.0,0.0,0.0,inf,2.5,50.0,10
2868.459086222222,13.554317010906713,0.8182756363646415,0.18045462238447502,0.08902223300313694,0.05374063678272818,0.0,0.0,0.0,inf,2.5,50.0,10
2913.9438364444445,13.4859918397523,0.8216790179396312,0.18373775291209243,0.09036030707131543,0.05418436538700955,0.0,0.0,0.0,inf,2.5,50.0,10
2809.096789333333,13.645136574978768,0.8329290607256793,0.1918486952717915,0.09290322372638249,0.05378006163526933,0.0,0.0,0.0,inf,2.5,50.0,10
2822.496526222222,13.624469447769982,0.8343963122190667,0.1806130885717358,0.09400772234957289,0.04570943434265817,0.0,0.0,0.0,inf,2.5,50.0,10
2785.5669831111113,13.681667546885778,0.8193570344080485,0.18130934940220483,0.06799571347831562,0.04569412836772236,0.0,0.0,0.0,inf,2.5,50.0,10
2725.0917546666665,13.776992311820166,0.842876351376372,0.1993586897163971,0.09644968876607324,0.0457332126886033,0.0,0.0,0.0,inf,2.5,50.0,10
2707.2098986666665,13.80558431547821,0.8392921119136006,0.19691839613110512,0.09357155330700767,0.037452156518547136,0.0,0.0,0.0,inf,2.5,50.0,10
2713.1358293333333,13.796088242189944,0.8388295125025367,0.18702379201488722,0.09281306756643404,0.04257092296230636,0.0,0.0,0.0,inf,2.5,50.0,10
2826.664711111111,13.618060637862648,0.8385041744018272,0.1777915009615998,0.09334237514185961,0.050545263961251606,0.0,0.0,0.0,inf,2.5,50.0,10
2802.162951111111,13.655869741327633,0.8337400134169635,0.18335731809863776,0.08915800489067577,0.052692590939788814,0.0,0.0,0.0,inf,2.5,50.0,10
2823.5727928888887,13.622813723570959,0.83345124475545,0.1917739973380197,0.08565808004785064,0.038697634837129666,0.0,0.0,0.0,inf,2.5,50.0,10
2832.907121777778,13.608480246674938,0.8324031301045646,0.16886585190773395,0.08270478296946815,0.05968466388547805,0.0,0.0,0.0,inf,2.5,50.0,10
2871.378538666667,13.549899108244656,0.8079356820770082,0.19037750824415806,0.06893254051138231,0.06139462662693801,0.0,0.0,0.0,inf,2.5,50.0,10
2856.2153955555555,13.572894051118617,0.8166188599421753,0.19049480491780268,0.07939624754293484,0.06433417281464557,0.0,0.0,0.0,inf,2.5,50.0,10
2839.2553457777776,13.59875908717014,0.8335695567294197,0.1858372404969132,0.08795765262632865,0.05293927668106832,0.0,0.0,0.0,inf,2.5,50.0,10
2910.1135146666666,13.491704310463199,0.8008823991404681,0.16970983894866515,0.06418304815265935,0.06689686276455567,0.0,0.0,0.0,inf,2.5,50.0,10
2756.5137777777777,13.727201933296376,0.8315464949608056,0.18760623672193782,0.08512056692837872,0.051153467986372846,0.0,0.0,0.0,inf,2.5,50.0,10
2775.7027413333335,13.69707406545874,0.8422100193572112,0.1913724766380397,0.090887586105249,0.040782558707768035,0.0,0.0,0.0,inf,2.5,50.0,10
2683.4011662222224,13.843947566816974,0.8536822233625448,0.1971675018962848,0.09776243048291888,0.03531797497509926,0.0,0.0,0.0,inf,2.5,50.0,10
2793.776064,13.66888768705608,0.8429053647700645,0.18501035876017008,0.09930504898073478,0.04258392103733497,0.0,0.0,0.0,inf,2.5,50.0,10
2718.6043804444444,13.787343485326547,0.8402424274204209,0.1819157987517227,0.09251349870260778,0.05234487373525227,0.0,0.0,0.0,inf,2.5,50.0,10
2748.4433422222223,13.73993572236296,0.8323863660019194,0.18814216253117655,0.09110280899877438,0.05245122287192625,0.0,0.0,0.0,inf,2.5,50.0,10
2812.5211164444445,13.639845690477369,0.8083393060125366,0.1679435764732835,0.07894899560391311,0.06369204797646591,0.0,0.0,0.0,inf,2.5,50.0,10
2838.798200888889,13.599458395485824,0.8278017527432548,0.18635941843190862,0.08992618461202356,0.05089558183196885,0.0,0.0,0.0,inf,2.5,50.0,10
2794.6928853333334,13.667462715554437,0.8263404783889903,0.1829921367052345,0.09167554044714049,0.04539266630341342,0.0,0.0,0.0,inf,2.5,50.0,10
2601.354062222222,13.978808941758844,0.8491584320499955,0.20190359570514116,0.10055801958169452,0.03251890759068034,0.0,0.0,0.0,inf,2.5,50.0,10
